1,450,0.3,2.03E+08,8.11E+06,,,
2,450,0.36667,5.30E+07,2.76E+06,,,
3,500,0.25,1.30E+08,1.52E+06,,,
4,500,0.36667,8.29E+07,1.65E+06,,,
5,550,0.31667,1.32E+08,6.50E+05,,,
6,550,0.36667,6.78E+07,8.02E+05,,,
7,600,0.25,1.02E+08,4.96E+05,,,
8,600,0.26667,4.76E+07,4.50E+05,,,
9,650,0.26667,1.00E+08,3.77E+05,,,
10,650,0.36667,6.83E+07,2.73E+05,,,
11,700,0.31667,1.22E+08,2.71E+05,,,
12,700,0.38333,9.12E+07,3.64E+05,,,
13,750,0.33333,1.89E+08,5.04E+05,,,
14,750,0.36667,1.52E+08,5.86E+05,,,
15,800,0.3,2.67E+08,5.91E+05,,,
16,800,0.33333,1.89E+08,8.47E+05,,,
17,825,0.25,1.51E+08,6.49E+05,,,
18,850,0.26667,1.52E+08,5.52E+05,,,
19,875,0.25,1.32E+08,3.80E+05,,,
20,900,0.25,1.45E+08,3.34E+05,,,
21,925,0.25,1.77E+08,4.37E+05,,,
22,950,0.25,1.89E+08,3.37E+05,,,
23,975,0.25,1.88E+08,2.86E+05,,,
24,1000,0.25,1.51E+08,1.79E+05,,,
25,1025,0.25,9.61E+07,1.69E+05,,,
26,1050,0.25,5.39E+07,50006,,,
27,1075,0.25,3.73E+07,52296,,,
28,1100,0.25,3.74E+07,57946,,,
29,1100,0.5,5.96E+07,96502,,,
30,1100,1,9.17E+07,93861,,,
31,1100,2.0167,1.26E+08,2.71E+05,,,
32,1100,3.1167,1.10E+08,2.96E+05,,,
33,1100,8.85,9.17E+07,1.41E+05,,,
34,1E+11,100000000,1.40E+07,1.20E+04,,,
